Energy_MeV,target000,target001,target002,target003,target004,target005,target006,target007,target008,target009,target010,target011,target012,target013,target014,target015,target016,target017,target018,target019,target020,target021,target022,target023,target024,target025,target026,target027,target028,target029,target030,target031,target032,target033,target034,target035,target036,target037,target038,target039,target040,target041,target042,target043,target044,target045,target046,target047,target048,target049,target050,target051,target052,target053,target054,target055,target056,target057,target058,target059,target060,target061,target062,target063,target064,target065,target066,target067,target068,target069,target070,target071,target072,target073,target074,target075,target076,target077,target078,target079,target080,target081,target082,target083,target084,target085,target086,target087,target088,target089,target090,target091,target092,target093,target094,target095,target096,target097,target098,target099,target100,target101,target102,target103,target104,target105,target106,target107,target108,target109,target110,target111,target112,target113,target114,target115,target116,target117,target118,target119,target120,target121,target122,target123,target124,target125,target126,target127,target128,target129,target130,target131,target132,target133,target134,target135,target136,target137,target138,target139,target140,target141
0.005,0.0,0.0,0.007512956839435483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015697465341468157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005809574550854824,0.001593570314143248,0.0,0.0,0.0,0.0,7.515545954824273e-05,1.1875209001075359e-07,0.0,0.0,0.0,0.0,0.0,0.00026556314696813706,0.0,0.000747017892500506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023346332818193483,0.002049960130330579,0.002435294674279548,0.00017066096769428158,0.0003325149190407737,6.13665348300735e-05,0.00017388399124412357,6.767254942341514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003566615292491187,0.00010170408036145505,0.0,0.0,0.0,0.002261574965678018,4.465219361138266e-06,0.0,0.710745915073349,0.0,3.0611574598833306e-05,9.722902068536998e-05,0.0015225374039845602,0.0,0.0,0.0,0.0004525813285753558,0.0,0.0,0.0,0.0001523617366104715,0.0,0.0,0.00070561959018543,0.0,0.0,0.0003257858259835426,0.0,0.0,0.0,5.900869797081323e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0055,0.0,0.0,0.009845066826894382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002086351953009964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007682608567835685,0.00209749802337286,0.0,0.0,0.0,0.0,0.0001039694353877567,3.695280035846395e-07,0.0,0.0,0.0,0.0,0.0,0.0003576263770676463,0.0,0.0009782685265119612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03040019656578294,0.002760905016959624,0.0031990095559899677,0.0002243781872272781,0.00043576656892709866,8.220495769481846e-05,0.00022424938971011033,9.200332971019107e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004708815490178342,0.0001355259407266503,0.0,0.0,0.0,0.002993839254369117,6.377706353595191e-06,0.0,0.709639667074907,0.0,4.0432708568092636e-05,0.0001353170133507499,0.0019905321256751523,0.0,0.0,0.0,0.0006019885220101422,0.0,0.0,0.0,0.00020056067835898768,0.0,0.0,0.0009267286799260538,0.0,0.0,0.00042673393139016264,0.0,0.0,0.0,7.644601523110475e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.0,0.0,0.012663064666658633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002671951785372253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009918517439847002,0.002685340459547499,0.0,0.0,0.0,0.0,0.00013821119126571836,8.071450250345327e-07,0.0,0.0,0.0,0.0,0.0,0.00046810932851211684,0.0,0.001253288960487739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03839375534119112,0.003660617144070302,0.00408598632406868,0.00029653890560224657,0.0005582460470994759,0.00010906321624212912,0.00028812090205967197,0.00011684485983395136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006158920334101877,0.00017555519929020224,0.0,0.0,0.0,0.0038291651176410755,7.360336320568597e-06,0.0,0.7083424399815343,0.0,5.205338938408451e-05,0.00018652763914735367,0.002539678087851697,0.0,0.0,0.0,0.0007695507918837481,0.0,0.0,0.0,0.00025708718866034177,0.0,0.0,0.001187110656142529,0.0,0.0,0.0005435945787910085,0.0,0.0,0.0,9.648249587065122e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0065,0.0,0.0,0.015876622043358105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003360078067877042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012561891593438031,0.0033790839468240703,0.0,0.0,0.0,0.0,0.0001812444964636159,1.323592769516684e-06,0.0,0.0,0.0,0.0,0.0,0.0005956211891809046,0.0,0.001579871165399974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468939200554629,0.0047705416998445205,0.0051237845686502095,0.00038243717548936074,0.0006994157554759795,0.00013991893218950319,0.0003636564832857665,0.00014877797086471073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007818471486150324,0.00022307987106181493,0.0,0.0,0.0,0.004788364641849667,1.3610363954631161e-05,0.0,0.7068587473978899,0.0,6.420183303771948e-05,0.00024892908287113595,0.0031517729738626383,0.0,0.0,0.0,0.0009653964055597561,0.0,0.0,0.0,0.0003215616740141823,0.0,0.0,0.0014694100017814012,0.0,0.0,0.0006812554237860987,0.0,0.0,0.0,0.00011885784242032507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.0,3.4886532781824114e-06,0.01968614861835067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042038620096067347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015615161910340742,0.004161526076425737,0.0,0.0,0.0,0.0,0.00023774138410447736,2.0578651891590987e-06,0.0,0.0,0.0,0.0,0.0,0.0007437961493160577,0.0,0.001939192324375845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056248494595315,0.0061913922835518265,0.006304627393815719,0.00048105421220270703,0.0008563313309265102,0.0001738320003094398,0.000451793702810241,0.0001890326181728559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009799912791937332,0.0002802736997787935,0.0,0.0,0.0,0.005885190374489985,2.106327489210636e-05,1.593244897539028e-06,0.7051700153909066,0.0,7.7238108299791e-05,0.000336963928548929,0.003849294941561486,0.0,0.0,0.0,0.0012120158777346028,0.0,0.0,0.0,0.0003955854321568752,0.0,0.0,0.0018360486264062735,0.0,0.0,0.0008302174099020104,0.0,0.0,0.0,0.0001431760620501363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0075,0.0,8.66011253884493e-06,0.023731714255018247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005196977047699276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001935382612048962,0.005065638095053941,0.0,0.0,0.0,0.0,0.0003114076152607645,2.81143852498346e-06,0.0,0.0,0.0,0.0,0.0,0.0009126863942114895,0.0,0.0023416000453940814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06585680364136397,0.007924465519400063,0.007621011444099692,0.0006050051578428873,0.0010363522674543676,0.00021626304855274593,0.0005452243841385443,0.00023165367819494976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011983664667653737,0.00034670371684866915,0.0,0.0,0.0,0.0071439257715851905,3.06232577056824e-05,1.5932448976579142e-06,0.7032651172666895,0.0,9.47620183588609e-05,0.0004875977817505193,0.0046190316458660724,0.0,0.0,0.0,0.0014669830475269746,0.0,0.0,0.0,0.00048001859886564167,0.0,0.0,0.002229204021176863,0.0,0.0,0.0009962394508830764,0.0,0.0,0.0,0.0001695818123516243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.0,7.012948636843904e-06,0.027974423678766017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006330146465473984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002356723818700968,0.0060993060813181975,0.0,0.0,0.0,0.0,0.00040311552374066835,3.999618411282904e-06,6.467560593111035e-08,0.0,0.0,0.0,0.0,0.0011138161760592222,0.0,0.0027863833511071233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07565423689741711,0.010032898941135118,0.009097861430147682,0.00075894277903759,0.0012290494376629457,0.00026779205870484067,0.0006551747930322523,0.00028570607626819206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00145324276728514,0.0004269221747729159,0.0,0.0,0.0,0.00852119391722597,5.0709291371079315e-05,3.1864897955238787e-06,0.7011588864739137,0.0,0.00011322873066115531,0.000663244509196775,0.005449063483836439,0.0,0.0,0.0,0.0017629159882887192,0.0,0.0,0.0,0.0005737635522399493,0.0,0.0,0.0026434153778800277,0.0,0.0,0.0011809155440992236,0.0,0.0,0.0,0.00019737438395249526,0.0,0.0,0.0,0.0,0.0,9.958991910482725e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0085,0.0,1.2247450275097928e-05,0.032913221917769166,0.0,0.0,0.0,0.0,0.0,1.1513186676995829e-06,0.0,0.0007647671539651473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002819788881089651,0.0072697470680345095,0.0,0.0,0.0,0.0,0.0005281680965704815,5.684168420784582e-06,1.2870270350744062e-07,0.0,0.0,0.0,0.0,0.0013479787420235018,0.0,0.0032769044028552493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08497578248756724,0.012658194525226632,0.01068532314315293,0.0009516582440279222,0.001447601922994416,0.00032604708200956173,0.0007765279514510643,0.00035033373057658196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017441856908096327,0.0005129705423020992,0.0,0.0,0.0,0.010060173236899141,8.637641969988788e-05,3.186489795707452e-06,0.6988285182795545,0.0,0.00013116987081809145,0.0009083377355111772,0.006354515885780445,0.0,0.0,0.0,0.002095673362574595,0.0,0.0,0.0,0.0006776832947210893,0.0,0.0,0.003111252283527557,0.0,0.0,0.0013938593054615342,0.0,0.0,0.0,0.0002267098868498965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3347572815550377e-06,0.0,0.0,0.0,0.0,0.0
0.009,0.0,4.713311604746052e-05,0.03836099129034231,0.0,0.0,0.0,0.0,0.0,1.130397791775909e-06,0.0,0.0009227768698236799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033695175378154678,0.008554674101519309,0.0,0.0,0.0,0.0,0.0006876739622431481,8.280371735710941e-06,1.939227866006835e-07,0.0,0.0,0.0,0.0,0.0016253658472404385,0.0,0.0038329629092894507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09474575016989813,0.015653780455838835,0.012411261315772784,0.0011842840755957645,0.001679170872850154,0.00040207982792180935,0.0009029528922945727,0.0004206977097086952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002064110736758904,0.0006176559040967983,0.0,0.0,0.0,0.011793331654429737,0.0001337788933255167,4.7797346931124425e-06,0.6962611618693016,0.0,0.000148472303363144,0.0012106157912751645,0.007310159469776596,0.0,0.0,0.0,0.0024311375818931668,0.0,0.0,0.0,0.0007917744155328682,0.0,0.0,0.0036700132041245334,0.0,0.0,0.0016323201695452477,0.0,0.0,0.0,0.00025887536954039356,0.0,0.0,0.0,0.0,0.0,6.97164010759326e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.004271843645259e-06,0.0,0.0,0.0,0.0,0.0
0.01,2.625106630491752e-07,0.0002144885191227348,0.05028733781285835,0.0,0.0,0.0,0.0,0.0,4.6052746702108955e-06,0.0,0.0013115923830779538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004746422219076709,0.011556975301283351,0.0,0.0,0.0,0.0,0.0011548211342112598,1.765727731138047e-05,1.1404909283515827e-06,3.82629637701635e-08,0.0,0.0,0.0,0.0022585406059787176,0.0,0.005069705930944009,0.0,0.0,0.0,0.0,0.0,2.666515946699046e-07,0.0,0.0,0.0,0.0,0.0,0.11346486203285591,0.023056253135246677,0.01615934015362408,0.0018585719121412814,0.002182106068940036,0.0006078726952294425,0.0011830907550442172,0.0005958642508917236,2.181859196024378e-06,1.4938304842824864e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002807084236686485,0.0008835014566574938,0.0,0.0,0.0,0.015657042537006526,0.00035995019312993137,4.781005720802063e-05,0.690387294486485,0.0,0.00019060151113869272,0.002036522028394542,0.009430342154580197,0.0,0.0,0.0,0.0032083110946014874,0.0,0.0,0.0,0.0010527315052820036,0.0,0.0,0.004872449134218862,0.0,0.0,0.0022094730414434693,0.0,0.0,0.0,0.00033068370963221526,4.896190513184794e-09,0.0,0.0,0.0,0.0,1.0451671848040045e-06,1.2778943511759578e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6737864063065975e-06,0.0,0.0,0.0,0.0,0.0
